level,age,gender,marital_status,faculty,department,skill,prep_before,prep_after,quality_before,quality_after,confidence_before,confidence_after,cgpa_before,cgpa_after,employment,quit_job,cgpa_change
300level,19–21,Male,Single,Science,Cell Biology and Genetics,Yes,Neutral,Good,Neutral,Neutral,Good,Good,3.986406852107987,3.8927559516441206,No,No,-0.09365090046386637
500level.,25–27,Female,Single,Science,Marine  science,No,Good,Neutral,Neutral,Neutral,Good,Good,3.987046108827586,4.019587124227797,No,No,0.03254101540021148
200level,22–24,Female,Single,Education,Art and social sciences Education ,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,4.0303356743223455,3.7041684650516578,Yes,Yes,-0.32616720927068776
400level,22–24,Female,Single,Management Science,Finance ,Yes,Neutral,Poor,Neutral,Poor,Good,Neutral,3.985115784638656,4.131795216803769,Yes,No,0.14667943216511325
300level,19–21,Male,Single,Science,Statistics ,Yes,Good,Good,Good,Good,Good,Good,3.9954671604531153,3.863312255478219,Yes,No,-0.13215490497489624
300level,25–27,Male,Single,Science,Botany ,Yes,Good,Neutral,Neutral,Poor,Good,Neutral,4.035583573444938,4.107725840064558,No,No,0.07214226661962009
400level,22–24,Male,Single,Science,Geophysics ,No,Poor,Neutral,Neutral,Poor,Neutral,Poor,4.01518662483187,3.5979849481536412,No,No,-0.4172016766782285
200level,16–18,Female,Married,Engineering,Civil Engineering,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,3.9910411703002433,3.69072677547744,Yes,No,-0.3003143948228031
300level,25–27,Female,Single,Law,Law,No Skill,Neutral,Neutral,Neutral,Neutral,Neutral,Poor,4.007989070903629,3.8898473515447174,No,No,-0.1181417193589116
200level,22–24,Female,Single,Management Science,accounting ,Yes,Neutral,Poor,Poor,Poor,Neutral,Poor,3.9552443706812546,3.6343272967540448,No,No,-0.3209170739272098
300level,22–24,Male,Single,Education,Educational foundations ,No,Neutral,Good,Neutral,Neutral,Neutral,Neutral,3.9519824853618135,3.5454099948977387,Yes,No,-0.40657249046407484
300level,19–21,Male,Single,Science,Cell Biology and Genetics,Yes,Neutral,Good,Neutral,Neutral,Good,Good,4.012648525931584,4.368529758127118,No,No,0.355881232195534
500level.,25–27,Female,Single,Science,Marine  science,No,Good,Neutral,Neutral,Neutral,Good,Good,4.085092751433372,4.011408509438303,No,No,-0.07368424199506851
200level,22–24,Female,Single,Education,Art and social sciences Education ,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,4.061861028554079,3.556407001238368,Yes,Yes,-0.5054540273157104
400level,22–24,Female,Single,Management Science,Finance ,Yes,Neutral,Poor,Neutral,Poor,Good,Neutral,4.077753574265751,3.6425807718393983,Yes,No,-0.4351728024263526
300level,19–21,Male,Single,Science,Statistics ,Yes,Good,Good,Good,Good,Good,Good,4.016898032052663,3.93487537033913,Yes,No,-0.08202266171353312
300level,25–27,Male,Single,Science,Botany ,Yes,Good,Neutral,Neutral,Poor,Good,Neutral,3.982654883945127,3.7243073479098117,No,No,-0.25834753603531535
400level,22–24,Male,Single,Science,Geophysics ,No,Poor,Neutral,Neutral,Poor,Neutral,Poor,4.032437206495794,3.9659279658261,No,No,-0.06650924066969344
200level,16–18,Female,Married,Engineering,Civil Engineering,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,3.9618013237725553,4.034286479454487,Yes,No,0.07248515568193126
300level,25–27,Female,Single,Law,Law,No Skill,Neutral,Neutral,Neutral,Neutral,Neutral,Poor,3.9098211664519122,3.3844929238224934,No,No,-0.5253282426294188
200level,22–24,Female,Single,Management Science,accounting ,Yes,Neutral,Poor,Poor,Poor,Neutral,Poor,4.012333211117827,3.326888579489235,No,No,-0.685444631628592
300level,22–24,Male,Single,Education,Educational foundations ,No,Neutral,Good,Neutral,Neutral,Neutral,Neutral,4.031356783664318,3.8808963041179307,Yes,No,-0.1504604795463873
300level,19–21,Male,Single,Science,Cell Biology and Genetics,Yes,Neutral,Good,Neutral,Neutral,Good,Good,4.021104968732353,3.8468030736103396,No,No,-0.17430189512201366
500level.,25–27,Female,Single,Science,Marine  science,No,Good,Neutral,Neutral,Neutral,Good,Good,4.047484915835616,3.660654919798065,No,No,-0.3868299960375512
200level,22–24,Female,Single,Education,Art and social sciences Education ,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,4.022984703576057,3.6190936961475413,Yes,Yes,-0.4038910074285158
400level,22–24,Female,Single,Management Science,Finance ,Yes,Neutral,Poor,Neutral,Poor,Good,Neutral,4.009901492618462,3.739016093533911,Yes,No,-0.27088539908455056
300level,19–21,Male,Single,Science,Statistics ,Yes,Good,Good,Good,Good,Good,Good,3.966194313342995,3.3200272222720786,Yes,No,-0.6461670910709163
300level,25–27,Male,Single,Science,Botany ,Yes,Good,Neutral,Neutral,Poor,Good,Neutral,3.9950487097655296,4.159753578693162,No,No,0.16470486892763248
400level,22–24,Male,Single,Science,Geophysics ,No,Poor,Neutral,Neutral,Poor,Neutral,Poor,3.962210539416005,3.9117030648070217,No,No,-0.050507474608983305
200level,16–18,Female,Married,Engineering,Civil Engineering,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,3.9875772838263397,3.945986729628277,Yes,No,-0.04159055419806279
300level,25–27,Female,Single,Law,Law,No Skill,Neutral,Neutral,Neutral,Neutral,Neutral,Poor,4.058487984807543,3.616688040518932,No,No,-0.44179994428861047
200level,22–24,Female,Single,Management Science,accounting ,Yes,Neutral,Poor,Poor,Poor,Neutral,Poor,4.005652864428073,4.187448904461426,No,No,0.18179604003335292
300level,22–24,Male,Single,Education,Educational foundations ,No,Neutral,Good,Neutral,Neutral,Neutral,Neutral,4.0108502909181585,3.6967828016325375,Yes,No,-0.314067489285621
300level,19–21,Male,Single,Science,Cell Biology and Genetics,Yes,Neutral,Good,Neutral,Neutral,Good,Good,3.977428591157966,3.921097097848849,No,No,-0.0563314933091168
500level.,25–27,Female,Single,Science,Marine  science,No,Good,Neutral,Neutral,Neutral,Good,Good,4.080341896138364,3.7019140800565657,No,No,-0.37842781608179843
200level,22–24,Female,Single,Education,Art and social sciences Education ,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,3.9371797138159303,4.03449628661154,Yes,Yes,0.09731657279560935
400level,22–24,Female,Single,Management Science,Finance ,Yes,Neutral,Poor,Neutral,Poor,Good,Neutral,3.9701573748525867,4.395083748696644,Yes,No,0.4249263738440572
300level,19–21,Male,Single,Science,Statistics ,Yes,Good,Good,Good,Good,Good,Good,4.028618570492245,3.4994268174605416,Yes,No,-0.5291917530317036
300level,25–27,Male,Single,Science,Botany ,Yes,Good,Neutral,Neutral,Poor,Good,Neutral,3.9756602220494406,3.708907335571574,No,No,-0.26675288647786655
400level,22–24,Male,Single,Science,Geophysics ,No,Poor,Neutral,Neutral,Poor,Neutral,Poor,3.9742968091692683,3.0911375472447364,No,No,-0.8831592619245319
200level,16–18,Female,Married,Engineering,Civil Engineering,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,4.014961377440507,4.007168132416091,Yes,No,-0.007793245024416251
300level,25–27,Female,Single,Law,Law,No Skill,Neutral,Neutral,Neutral,Neutral,Neutral,Poor,4.022453700300069,3.895171418555996,No,No,-0.12728228174407308
200level,22–24,Female,Single,Management Science,accounting ,Yes,Neutral,Poor,Poor,Poor,Neutral,Poor,4.020400429758848,3.4130480853071115,No,No,-0.6073523444517361
300level,22–24,Male,Single,Education,Educational foundations ,No,Neutral,Good,Neutral,Neutral,Neutral,Neutral,3.9723641807320442,3.708900403701917,Yes,No,-0.26346377703012713
300level,19–21,Male,Single,Science,Cell Biology and Genetics,Yes,Neutral,Good,Neutral,Neutral,Good,Good,4.022605694595116,3.8192325666751543,No,No,-0.20337312791996176
500level.,25–27,Female,Single,Science,Marine  science,No,Good,Neutral,Neutral,Neutral,Good,Good,3.9613258440768737,4.064674931544317,No,No,0.10334908746744365
200level,22–24,Female,Single,Education,Art and social sciences Education ,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,3.970448670042148,3.767017950998843,Yes,Yes,-0.20343071904330534
400level,22–24,Female,Single,Management Science,Finance ,Yes,Neutral,Poor,Neutral,Poor,Good,Neutral,3.9679734164121365,3.4335191150869706,Yes,No,-0.5344543013251659
300level,19–21,Male,Single,Science,Statistics ,Yes,Good,Good,Good,Good,Good,Good,4.009320493072855,3.647321355403933,Yes,No,-0.361999137668922
300level,25–27,Male,Single,Science,Botany ,Yes,Good,Neutral,Neutral,Poor,Good,Neutral,3.9880960053343166,3.911459636663847,No,No,-0.07663636867046941
400level,22–24,Male,Single,Science,Geophysics ,No,Poor,Neutral,Neutral,Poor,Neutral,Poor,3.969378889035275,3.9275518031566494,No,No,-0.0418270858786256
200level,16–18,Female,Married,Engineering,Civil Engineering,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,4.000074027387218,3.3451479499625703,Yes,No,-0.6549260774246481
300level,25–27,Female,Single,Law,Law,No Skill,Neutral,Neutral,Neutral,Neutral,Neutral,Poor,3.967142190477881,3.7740455576782588,No,No,-0.1930966327996222
200level,22–24,Female,Single,Management Science,accounting ,Yes,Neutral,Poor,Poor,Poor,Neutral,Poor,3.9833308247997574,3.998585710448433,No,No,0.015254885648675387
300level,22–24,Male,Single,Education,Educational foundations ,No,Neutral,Good,Neutral,Neutral,Neutral,Neutral,3.9893544471462867,3.3303534033525124,Yes,No,-0.6590010437937743
300level,19–21,Male,Single,Science,Cell Biology and Genetics,Yes,Neutral,Good,Neutral,Neutral,Good,Good,3.981363372497373,3.9710484846822083,No,No,-0.010314887815164653
500level.,25–27,Female,Single,Science,Marine  science,No,Good,Neutral,Neutral,Neutral,Good,Good,3.967683596263802,3.77919054178357,No,No,-0.18849305448023213
200level,22–24,Female,Single,Education,Art and social sciences Education ,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,3.9601350726859694,3.6192944465608328,Yes,Yes,-0.34084062612513666
400level,22–24,Female,Single,Management Science,Finance ,Yes,Neutral,Poor,Neutral,Poor,Good,Neutral,4.033385141107921,4.028246539240866,Yes,No,-0.005138601867054504
300level,19–21,Male,Single,Science,Statistics ,Yes,Good,Good,Good,Good,Good,Good,3.9345465880905284,3.928899075218433,Yes,No,-0.005647512872095195
300level,25–27,Male,Single,Science,Botany ,Yes,Good,Neutral,Neutral,Poor,Good,Neutral,4.008389720305448,3.828409247826988,No,No,-0.17998047247846038
400level,22–24,Male,Single,Science,Geophysics ,No,Poor,Neutral,Neutral,Poor,Neutral,Poor,3.9739594320113087,3.846659470969904,No,No,-0.12729996104140495
200level,16–18,Female,Married,Engineering,Civil Engineering,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,3.9769952797011197,3.601957973111459,Yes,No,-0.3750373065896606
300level,25–27,Female,Single,Law,Law,No Skill,Neutral,Neutral,Neutral,Neutral,Neutral,Poor,3.943430645066751,3.8685531076639585,No,No,-0.07487753740279235
200level,22–24,Female,Single,Management Science,accounting ,Yes,Neutral,Poor,Poor,Poor,Neutral,Poor,3.998137256036377,4.0619865651606855,No,No,0.06384930912430864
300level,22–24,Male,Single,Education,Educational foundations ,No,Neutral,Good,Neutral,Neutral,Neutral,Neutral,3.9817718921305683,3.262515778738649,Yes,No,-0.7192561133919191
300level,19–21,Male,Single,Science,Cell Biology and Genetics,Yes,Neutral,Good,Neutral,Neutral,Good,Good,4.0321483265027265,3.541713010846313,No,No,-0.49043531565641363
500level.,25–27,Female,Single,Science,Marine  science,No,Good,Neutral,Neutral,Neutral,Good,Good,3.981428177510536,4.143704302937893,No,No,0.16227612542735725
200level,22–24,Female,Single,Education,Art and social sciences Education ,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,3.965069834868854,3.6706887864868656,Yes,Yes,-0.2943810483819882
400level,22–24,Female,Single,Management Science,Finance ,Yes,Neutral,Poor,Neutral,Poor,Good,Neutral,3.96159573672052,3.66400238769137,Yes,No,-0.29759334902915
300level,19–21,Male,Single,Science,Statistics ,Yes,Good,Good,Good,Good,Good,Good,4.028959357882501,3.522356023028473,Yes,No,-0.5066033348540278
300level,25–27,Male,Single,Science,Botany ,Yes,Good,Neutral,Neutral,Poor,Good,Neutral,4.016818762473054,3.679497685037503,No,No,-0.33732107743555106
400level,22–24,Male,Single,Science,Geophysics ,No,Poor,Neutral,Neutral,Poor,Neutral,Poor,3.9881909528953847,4.012067113710511,No,No,0.023876160815126557
200level,16–18,Female,Married,Engineering,Civil Engineering,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,4.050874925081206,3.7452370694620623,Yes,No,-0.3056378556191435
300level,25–27,Female,Single,Law,Law,No Skill,Neutral,Neutral,Neutral,Neutral,Neutral,Poor,4.007403438617722,3.9333367177440963,No,No,-0.07406672087362542
200level,22–24,Female,Single,Management Science,accounting ,Yes,Neutral,Poor,Poor,Poor,Neutral,Poor,3.9899028749749803,3.629725649514434,No,No,-0.3601772254605464
300level,22–24,Male,Single,Education,Educational foundations ,No,Neutral,Good,Neutral,Neutral,Neutral,Neutral,4.01526103737618,3.5552602139111644,Yes,No,-0.4600008234650157
300level,19–21,Male,Single,Science,Cell Biology and Genetics,Yes,Neutral,Good,Neutral,Neutral,Good,Good,3.964717608559151,3.96341866430912,No,No,-0.0012989442500308535
500level.,25–27,Female,Single,Science,Marine  science,No,Good,Neutral,Neutral,Neutral,Good,Good,4.002224138741358,3.852054534525409,No,No,-0.15016960421594883
200level,22–24,Female,Single,Education,Art and social sciences Education ,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,3.963745748298276,3.7565399803266053,Yes,Yes,-0.20720576797167078
400level,22–24,Female,Single,Management Science,Finance ,Yes,Neutral,Poor,Neutral,Poor,Good,Neutral,4.017064743869455,4.055644612141645,Yes,No,0.03857986827218962
300level,19–21,Male,Single,Science,Statistics ,Yes,Good,Good,Good,Good,Good,Good,4.018850009468801,3.6734586542719323,Yes,No,-0.34539135519686903
300level,25–27,Male,Single,Science,Botany ,Yes,Good,Neutral,Neutral,Poor,Good,Neutral,3.995677826244482,3.4640699882887853,No,No,-0.5316078379556965
400level,22–24,Male,Single,Science,Geophysics ,No,Poor,Neutral,Neutral,Poor,Neutral,Poor,4.032702724853138,3.858359737951443,No,No,-0.1743429869016948
200level,16–18,Female,Married,Engineering,Civil Engineering,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,3.977146615213579,3.5664309616901733,Yes,No,-0.4107156535234058
300level,25–27,Female,Single,Law,Law,No Skill,Neutral,Neutral,Neutral,Neutral,Neutral,Poor,4.0159097893940485,3.811614580096325,No,No,-0.2042952092977237
200level,22–24,Female,Single,Management Science,accounting ,Yes,Neutral,Poor,Poor,Poor,Neutral,Poor,3.9952044652612075,3.501564481493266,No,No,-0.4936399837679417
300level,22–24,Male,Single,Education,Educational foundations ,No,Neutral,Good,Neutral,Neutral,Neutral,Neutral,3.9630399883946685,4.205116335184866,Yes,No,0.2420763467901974
300level,19–21,Male,Single,Science,Cell Biology and Genetics,Yes,Neutral,Good,Neutral,Neutral,Good,Good,4.020565206616553,3.999554043758691,No,No,-0.02101116285786153
500level.,25–27,Female,Single,Science,Marine  science,No,Good,Neutral,Neutral,Neutral,Good,Good,4.052108462017227,3.985104930025145,No,No,-0.06700353199208164
200level,22–24,Female,Single,Education,Art and social sciences Education ,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,4.095690108990149,3.911887555456672,Yes,Yes,-0.18380255353347685
400level,22–24,Female,Single,Management Science,Finance ,Yes,Neutral,Poor,Neutral,Poor,Good,Neutral,4.001975571798094,3.8095944415423104,Yes,No,-0.19238113025578363
300level,19–21,Male,Single,Science,Statistics ,Yes,Good,Good,Good,Good,Good,Good,4.014099741854995,3.573870753899631,Yes,No,-0.440228987955364
300level,25–27,Male,Single,Science,Botany ,Yes,Good,Neutral,Neutral,Poor,Good,Neutral,4.05243496789487,3.938267123532487,No,No,-0.11416784436238281
400level,22–24,Male,Single,Science,Geophysics ,No,Poor,Neutral,Neutral,Poor,Neutral,Poor,3.9663241475459667,4.045755615158018,No,No,0.07943146761205089
200level,16–18,Female,Married,Engineering,Civil Engineering,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,4.046435093498253,4.2967493566481325,Yes,No,0.25031426314987915
300level,25–27,Female,Single,Law,Law,No Skill,Neutral,Neutral,Neutral,Neutral,Neutral,Poor,3.9472522079460517,3.7005447980991923,No,No,-0.24670740984685935
200level,22–24,Female,Single,Management Science,accounting ,Yes,Neutral,Poor,Poor,Poor,Neutral,Poor,3.963015303723165,4.382933661042476,No,No,0.4199183573193115
300level,22–24,Male,Single,Education,Educational foundations ,No,Neutral,Good,Neutral,Neutral,Neutral,Neutral,3.9920939493810157,3.4425937541551663,Yes,No,-0.5495001952258494
300level,19–21,Male,Single,Science,Cell Biology and Genetics,Yes,Neutral,Good,Neutral,Neutral,Good,Good,3.9871078936491955,3.551767716514953,No,No,-0.43534017713424245
500level.,25–27,Female,Single,Science,Marine  science,No,Good,Neutral,Neutral,Neutral,Good,Good,4.029289600630231,4.127040685233542,No,No,0.09775108460331072
