level,age,gender,marital_status,faculty,department,skill,preparation_before,preparation_after,quality_before,quality_after,confidence_before,confidence_after,cgpa_before,cgpa_after,employment,quit_job,cgpa_change
200level,16–18,Female,Single,Education,Yoruba ,No,Poor,Neutral,Good,Good,Good,Poor,4.325591166465116,4.531017153652379,No,,0.20542598718726346
500level.,27+,Female,Married,Engineering,Met and mat,Yes,Good,Neutral,Good,Neutral,Neutral,Neutral,3.6934429122626584,3.4016956441822495,No,,-0.29174726808040896
400level,22–24,Female,Single,Management Science,Finance ,Yes,Neutral,Poor,Neutral,Poor,Good,Neutral,4.073012136132437,3.1985974862798496,Yes,No,-0.8744146498525875
300level,19–21,Male,Single,Science,Statistics ,Yes,Good,Good,Good,Good,Good,Good,3.7597056767593013,3.742014522393124,Yes,No,-0.017691154366177297
300level,25–27,Male,Single,Science,Botany ,Yes,Good,Neutral,Neutral,Poor,Good,Neutral,3.9274722213793787,3.3987095283042073,No,No,-0.5287626930751714
400level,22–24,Male,Single,Science,Geophysics ,No,Poor,Neutral,Neutral,Poor,Neutral,Poor,3.9535490464838023,3.9797075511096165,No,No,0.02615850462581415
200level,16–18,Female,Married,Engineering,Civil Engineering,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,3.5323354066959505,3.7895322889925422,Yes,No,0.25719688229659177
300level,25–27,Female,Single,Law,Law,No Skill,Neutral,Neutral,Neutral,Neutral,Neutral,Poor,3.90044688968255,4.107128717645754,No,No,0.2066818279632039
200level,22–24,Female,Single,Management Science,accounting ,Yes,Neutral,Poor,Poor,Poor,Neutral,Poor,3.5910369103773236,3.47020112710446,No,No,-0.12083578327286348
300level,22–24,Male,Single,Education,Educational foundations ,No,Neutral,Good,Neutral,Neutral,Neutral,Neutral,3.6109581786649905,3.325987395574719,Yes,No,-0.2849707830902717
300level,19–21,Male,Single,Science,Cell Biology and Genetics,Yes,Neutral,Good,Neutral,Neutral,Good,Good,3.7570653024834435,3.7379171229759156,No,No,-0.019148179507527896
500level.,25–27,Female,Single,Science,Marine  science,No,Good,Neutral,Neutral,Neutral,Good,Good,3.337562862975576,3.761483097954263,No,No,0.423920234978687
200level,22–24,Female,Single,Education,Art and social sciences Education ,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,3.477100211192807,3.793559951549635,Yes,Yes,0.31645974035682833
400level,19–21,Male,Single,Engineering,Electrical and Electronics Engineering ,Yes,Poor,Good,Neutral,Neutral,Neutral,Neutral,3.9465614061405745,3.7974707932639062,Yes,Yes,-0.14909061287666825
200level,16–18,Female,Single,Education,Yoruba ,No,Poor,Neutral,Good,Good,Good,Poor,4.059885477938621,4.546595641096977,No,,0.4867101631583566
500level.,27+,Female,Married,Engineering,Met and mat,Yes,Good,Neutral,Good,Neutral,Neutral,Neutral,4.117038141273297,3.560750006672083,No,,-0.5562881346012141
400level,22–24,Female,Single,Management Science,Finance ,Yes,Neutral,Poor,Neutral,Poor,Good,Neutral,3.7553351704865823,3.871007981985286,Yes,No,0.11567281149870379
300level,19–21,Male,Single,Science,Statistics ,Yes,Good,Good,Good,Good,Good,Good,4.074455738442463,3.637643588011293,Yes,No,-0.43681215043116994
300level,25–27,Male,Single,Science,Botany ,Yes,Good,Neutral,Neutral,Poor,Good,Neutral,4.313743698936625,3.77556482803471,No,No,-0.5381788709019149
400level,22–24,Male,Single,Science,Geophysics ,No,Poor,Neutral,Neutral,Poor,Neutral,Poor,4.206748843560505,3.815828358168214,No,No,-0.3909204853922912
200level,16–18,Female,Married,Engineering,Civil Engineering,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,3.502517077923928,3.5139152233994992,Yes,No,0.011398145475571386
300level,25–27,Female,Single,Law,Law,No Skill,Neutral,Neutral,Neutral,Neutral,Neutral,Poor,3.40265355829068,3.4923502149588086,No,No,0.08969665666812876
200level,22–24,Female,Single,Management Science,accounting ,Yes,Neutral,Poor,Poor,Poor,Neutral,Poor,3.9935339973071824,4.147952958018437,No,No,0.15441896071125472
300level,22–24,Male,Single,Education,Educational foundations ,No,Neutral,Good,Neutral,Neutral,Neutral,Neutral,4.2248668390633854,3.648952552848318,Yes,No,-0.5759142862150672
300level,19–21,Male,Single,Science,Cell Biology and Genetics,Yes,Neutral,Good,Neutral,Neutral,Good,Good,3.8763064187069367,3.3555645112663544,No,No,-0.5207419074405824
500level.,25–27,Female,Single,Science,Marine  science,No,Good,Neutral,Neutral,Neutral,Good,Good,4.144642515097219,2.9540286064846026,No,No,-1.1906139086126166
200level,22–24,Female,Single,Education,Art and social sciences Education ,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,3.95017831718803,3.3400374889562845,Yes,Yes,-0.6101408282317453
400level,19–21,Male,Single,Engineering,Electrical and Electronics Engineering ,Yes,Poor,Good,Neutral,Neutral,Neutral,Neutral,3.9444436868785493,2.9368376587349263,Yes,Yes,-1.007606028143623
200level,16–18,Female,Single,Education,Yoruba ,No,Poor,Neutral,Good,Good,Good,Poor,3.9643912920546347,3.9317042341344393,No,,-0.03268705792019544
500level.,27+,Female,Married,Engineering,Met and mat,Yes,Good,Neutral,Good,Neutral,Neutral,Neutral,3.943524754141928,3.6477995974919586,No,,-0.29572515664996946
400level,22–24,Female,Single,Management Science,Finance ,Yes,Neutral,Poor,Neutral,Poor,Good,Neutral,3.766525290381804,4.073529027642551,Yes,No,0.30700373726074703
300level,19–21,Male,Single,Science,Statistics ,Yes,Good,Good,Good,Good,Good,Good,4.3900704729998985,3.6260197277430777,Yes,No,-0.7640507452568208
300level,25–27,Male,Single,Science,Botany ,Yes,Good,Neutral,Neutral,Poor,Good,Neutral,4.135723718970264,3.949902290637614,No,No,-0.18582142833265003
400level,22–24,Male,Single,Science,Geophysics ,No,Poor,Neutral,Neutral,Poor,Neutral,Poor,3.729530185966807,3.7274222212042263,No,No,-0.002107964762580572
200level,16–18,Female,Married,Engineering,Civil Engineering,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,3.8044713834894153,3.567509043103403,Yes,No,-0.23696234038601238
300level,25–27,Female,Single,Law,Law,No Skill,Neutral,Neutral,Neutral,Neutral,Neutral,Poor,3.5966954649344904,3.2928954128400667,No,No,-0.30380005209442373
200level,22–24,Female,Single,Management Science,accounting ,Yes,Neutral,Poor,Poor,Poor,Neutral,Poor,4.014872628778185,3.473683620381867,No,No,-0.5411890083963176
300level,22–24,Male,Single,Education,Educational foundations ,No,Neutral,Good,Neutral,Neutral,Neutral,Neutral,3.4905841586178923,3.606170874862146,Yes,No,0.11558671624425365
300level,19–21,Male,Single,Science,Cell Biology and Genetics,Yes,Neutral,Good,Neutral,Neutral,Good,Good,3.791268615570479,3.6968091397834812,No,No,-0.09445947578699787
500level.,25–27,Female,Single,Science,Marine  science,No,Good,Neutral,Neutral,Neutral,Good,Good,4.08823302348239,3.556064119412129,No,No,-0.5321689040702609
200level,22–24,Female,Single,Education,Art and social sciences Education ,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,4.036819869636238,4.135477529249218,Yes,Yes,0.09865765961297956
400level,19–21,Male,Single,Engineering,Electrical and Electronics Engineering ,Yes,Poor,Good,Neutral,Neutral,Neutral,Neutral,4.040524263171269,3.6831529437569883,Yes,Yes,-0.3573713194142809
200level,16–18,Female,Single,Education,Yoruba ,No,Poor,Neutral,Good,Good,Good,Poor,3.558326672773313,3.5383807406966405,No,,-0.019945932076672612
500level.,27+,Female,Married,Engineering,Met and mat,Yes,Good,Neutral,Good,Neutral,Neutral,Neutral,4.092998852449684,3.4762713331943105,No,,-0.6167275192553734
400level,22–24,Female,Single,Management Science,Finance ,Yes,Neutral,Poor,Neutral,Poor,Good,Neutral,3.845925360899312,4.091386720104345,Yes,No,0.24546135920503298
300level,19–21,Male,Single,Science,Statistics ,Yes,Good,Good,Good,Good,Good,Good,4.246895062712623,3.998395634249911,Yes,No,-0.24849942846271178
300level,25–27,Male,Single,Science,Botany ,Yes,Good,Neutral,Neutral,Poor,Good,Neutral,3.8068890898708267,3.7060725198653937,No,No,-0.10081657000543309
400level,22–24,Male,Single,Science,Geophysics ,No,Poor,Neutral,Neutral,Poor,Neutral,Poor,4.344432601697258,3.3251766271476058,No,No,-1.0192559745496519
200level,16–18,Female,Married,Engineering,Civil Engineering,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,3.996952240557487,3.373611652322281,Yes,No,-0.6233405882352061
300level,25–27,Female,Single,Law,Law,No Skill,Neutral,Neutral,Neutral,Neutral,Neutral,Poor,4.088335562201318,3.734362646798674,No,No,-0.3539729154026441
200level,22–24,Female,Single,Management Science,accounting ,Yes,Neutral,Poor,Poor,Poor,Neutral,Poor,3.7749816421589144,3.7952618098745394,No,No,0.02028016771562502
300level,22–24,Male,Single,Education,Educational foundations ,No,Neutral,Good,Neutral,Neutral,Neutral,Neutral,3.7711908564512298,3.550925480863589,Yes,No,-0.22026537558764092
300level,19–21,Male,Single,Science,Cell Biology and Genetics,Yes,Neutral,Good,Neutral,Neutral,Good,Good,3.776818663392947,3.88131311457909,No,No,0.10449445118614298
500level.,25–27,Female,Single,Science,Marine  science,No,Good,Neutral,Neutral,Neutral,Good,Good,4.1579258300851025,3.8224212431854885,No,No,-0.33550458689961404
200level,22–24,Female,Single,Education,Art and social sciences Education ,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,3.7598247209952214,3.544731626207985,Yes,Yes,-0.21509309478723626
400level,19–21,Male,Single,Engineering,Electrical and Electronics Engineering ,Yes,Poor,Good,Neutral,Neutral,Neutral,Neutral,3.850954845840017,3.3899023916927455,Yes,Yes,-0.46105245414727136
200level,16–18,Female,Single,Education,Yoruba ,No,Poor,Neutral,Good,Good,Good,Poor,4.204126616414073,3.474925101394056,No,,-0.7292015150200171
500level.,27+,Female,Married,Engineering,Met and mat,Yes,Good,Neutral,Good,Neutral,Neutral,Neutral,4.024558556392014,4.01432694373755,No,,-0.01023161265446415
400level,22–24,Female,Single,Management Science,Finance ,Yes,Neutral,Poor,Neutral,Poor,Good,Neutral,3.811989877083916,4.398185246671021,Yes,No,0.5861953695871054
300level,19–21,Male,Single,Science,Statistics ,Yes,Good,Good,Good,Good,Good,Good,3.961193647242302,3.3909435627994418,Yes,No,-0.5702500844428604
300level,25–27,Male,Single,Science,Botany ,Yes,Good,Neutral,Neutral,Poor,Good,Neutral,3.4968465689097767,3.298756614646709,No,No,-0.19808995426306764
400level,22–24,Male,Single,Science,Geophysics ,No,Poor,Neutral,Neutral,Poor,Neutral,Poor,3.4681299981158893,3.3635830042598656,No,No,-0.10454699385602373
200level,16–18,Female,Married,Engineering,Civil Engineering,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,4.00221396434963,4.1691018258352335,Yes,No,0.16688786148560375
300level,25–27,Female,Single,Law,Law,No Skill,Neutral,Neutral,Neutral,Neutral,Neutral,Poor,4.6399892159292815,3.8879995863795127,No,No,-0.7519896295497688
200level,22–24,Female,Single,Management Science,accounting ,Yes,Neutral,Poor,Poor,Poor,Neutral,Poor,4.435464731039806,4.432145866094724,No,No,-0.003318864945081934
300level,22–24,Male,Single,Education,Educational foundations ,No,Neutral,Good,Neutral,Neutral,Neutral,Neutral,4.575377502130895,2.902517313586938,Yes,No,-1.6728601885439565
300level,19–21,Male,Single,Science,Cell Biology and Genetics,Yes,Neutral,Good,Neutral,Neutral,Good,Good,4.039625225449985,3.289587958969388,No,No,-0.750037266480597
500level.,25–27,Female,Single,Science,Marine  science,No,Good,Neutral,Neutral,Neutral,Good,Good,3.7381597566994933,4.068840893626372,No,No,0.3306811369268785
200level,22–24,Female,Single,Education,Art and social sciences Education ,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,4.176427031545118,3.1263463910067886,Yes,Yes,-1.0500806405383294
400level,19–21,Male,Single,Engineering,Electrical and Electronics Engineering ,Yes,Poor,Good,Neutral,Neutral,Neutral,Neutral,3.5545718379486035,3.8590581802685273,Yes,Yes,0.3044863423199238
200level,16–18,Female,Single,Education,Yoruba ,No,Poor,Neutral,Good,Good,Good,Poor,3.0969555451012925,3.8117712009759774,No,,0.714815655874685
500level.,27+,Female,Married,Engineering,Met and mat,Yes,Good,Neutral,Good,Neutral,Neutral,Neutral,3.999438035926385,3.4182514871846323,No,,-0.5811865487417527
400level,22–24,Female,Single,Management Science,Finance ,Yes,Neutral,Poor,Neutral,Poor,Good,Neutral,4.166915342540456,3.8095489771124624,Yes,No,-0.3573663654279935
300level,19–21,Male,Single,Science,Statistics ,Yes,Good,Good,Good,Good,Good,Good,4.076661719120595,3.4985118778582343,Yes,No,-0.5781498412623605
300level,25–27,Male,Single,Science,Botany ,Yes,Good,Neutral,Neutral,Poor,Good,Neutral,4.3089021397187315,3.6290672545183273,No,No,-0.6798348852004041
400level,22–24,Male,Single,Science,Geophysics ,No,Poor,Neutral,Neutral,Poor,Neutral,Poor,4.0932102894799645,3.6974506255754904,No,No,-0.39575966390447403
200level,16–18,Female,Married,Engineering,Civil Engineering,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,3.9780299821172447,3.6024788052289525,Yes,No,-0.3755511768882922
300level,25–27,Female,Single,Law,Law,No Skill,Neutral,Neutral,Neutral,Neutral,Neutral,Poor,3.5932462803774885,4.332710138073766,No,No,0.7394638576962778
200level,22–24,Female,Single,Management Science,accounting ,Yes,Neutral,Poor,Poor,Poor,Neutral,Poor,3.847270942938161,3.8688881694048,No,No,0.021617226466639217
300level,22–24,Male,Single,Education,Educational foundations ,No,Neutral,Good,Neutral,Neutral,Neutral,Neutral,3.558174438544357,4.061186469797529,Yes,No,0.5030120312531721
300level,19–21,Male,Single,Science,Cell Biology and Genetics,Yes,Neutral,Good,Neutral,Neutral,Good,Good,3.781494954237613,3.5453332993111153,No,No,-0.23616165492649754
500level.,25–27,Female,Single,Science,Marine  science,No,Good,Neutral,Neutral,Neutral,Good,Good,4.405769557834002,3.915193337663836,No,No,-0.49057622017016644
200level,22–24,Female,Single,Education,Art and social sciences Education ,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,3.940626450031348,3.6013079889882014,Yes,Yes,-0.3393184610431468
400level,19–21,Male,Single,Engineering,Electrical and Electronics Engineering ,Yes,Poor,Good,Neutral,Neutral,Neutral,Neutral,3.986382891822552,3.511237445352601,Yes,Yes,-0.47514544646995116
200level,16–18,Female,Single,Education,Yoruba ,No,Poor,Neutral,Good,Good,Good,Poor,3.69214918547628,3.46376924630669,No,,-0.22837993916958998
500level.,27+,Female,Married,Engineering,Met and mat,Yes,Good,Neutral,Good,Neutral,Neutral,Neutral,4.59816424078454,3.9917251715344415,No,,-0.606439069250098
400level,22–24,Female,Single,Management Science,Finance ,Yes,Neutral,Poor,Neutral,Poor,Good,Neutral,3.3378112421162296,3.8965392552537317,Yes,No,0.5587280131375021
300level,19–21,Male,Single,Science,Statistics ,Yes,Good,Good,Good,Good,Good,Good,3.6281357768666584,3.231221358868292,Yes,No,-0.39691441799836635
300level,25–27,Male,Single,Science,Botany ,Yes,Good,Neutral,Neutral,Poor,Good,Neutral,4.142809009943189,3.4697593678739103,No,No,-0.6730496420692789
400level,22–24,Male,Single,Science,Geophysics ,No,Poor,Neutral,Neutral,Poor,Neutral,Poor,3.6765810426013514,3.4870680138177863,No,No,-0.18951302878356513
200level,16–18,Female,Married,Engineering,Civil Engineering,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,3.664578001825693,3.6021302607797323,Yes,No,-0.062447741045960736
300level,25–27,Female,Single,Law,Law,No Skill,Neutral,Neutral,Neutral,Neutral,Neutral,Poor,4.022575552078015,4.264986897325952,No,No,0.24241134524793662
200level,22–24,Female,Single,Management Science,accounting ,Yes,Neutral,Poor,Poor,Poor,Neutral,Poor,4.088535510426324,3.9770214535182484,No,No,-0.11151405690807525
300level,22–24,Male,Single,Education,Educational foundations ,No,Neutral,Good,Neutral,Neutral,Neutral,Neutral,4.070459188581237,3.5824129922246666,Yes,No,-0.48804619635657076
300level,19–21,Male,Single,Science,Cell Biology and Genetics,Yes,Neutral,Good,Neutral,Neutral,Good,Good,3.647563773580129,3.4657721418116214,No,No,-0.18179163176850777
500level.,25–27,Female,Single,Science,Marine  science,No,Good,Neutral,Neutral,Neutral,Good,Good,4.089873618454821,3.4016892479019303,No,No,-0.6881843705528903
200level,22–24,Female,Single,Education,Art and social sciences Education ,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,3.550385870324077,4.027391870948623,Yes,Yes,0.477006000624546
400level,19–21,Male,Single,Engineering,Electrical and Electronics Engineering ,Yes,Poor,Good,Neutral,Neutral,Neutral,Neutral,3.6307002443796996,3.1591122802963785,Yes,Yes,-0.47158796408332115
200level,16–18,Female,Single,Education,Yoruba ,No,Poor,Neutral,Good,Good,Good,Poor,3.608908921528643,2.948000349587271,No,,-0.6609085719413721
500level.,27+,Female,Married,Engineering,Met and mat,Yes,Good,Neutral,Good,Neutral,Neutral,Neutral,3.9729150522687937,4.141484153682437,No,,0.168569101413643
400level,22–24,Female,Single,Management Science,Finance ,Yes,Neutral,Poor,Neutral,Poor,Good,Neutral,3.7860616086252916,4.258467847218608,Yes,No,0.4724062385933161
300level,19–21,Male,Single,Science,Statistics ,Yes,Good,Good,Good,Good,Good,Good,3.621282242515951,3.8322064217541203,Yes,No,0.21092417923816908
300level,25–27,Male,Single,Science,Botany ,Yes,Good,Neutral,Neutral,Poor,Good,Neutral,3.891512194580238,3.9524693954677375,No,No,0.060957200887499674
400level,22–24,Male,Single,Science,Geophysics ,No,Poor,Neutral,Neutral,Poor,Neutral,Poor,3.6015910804492837,3.0912865689477846,No,No,-0.510304511501499
200level,16–18,Female,Married,Engineering,Civil Engineering,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,3.7441105187599453,2.592874370091036,Yes,No,-1.151236148668909
300level,25–27,Female,Single,Law,Law,No Skill,Neutral,Neutral,Neutral,Neutral,Neutral,Poor,3.7971405184717066,3.5340753694312355,No,No,-0.2630651490404712
200level,22–24,Female,Single,Management Science,accounting ,Yes,Neutral,Poor,Poor,Poor,Neutral,Poor,3.7267897126027565,3.8509589018362256,No,No,0.12416918923346909
300level,22–24,Male,Single,Education,Educational foundations ,No,Neutral,Good,Neutral,Neutral,Neutral,Neutral,3.6063574397958105,3.8545688986571465,Yes,No,0.248211458861336
300level,19–21,Male,Single,Science,Cell Biology and Genetics,Yes,Neutral,Good,Neutral,Neutral,Good,Good,3.5399027087173724,3.9343375244322414,No,No,0.39443481571486894
500level.,25–27,Female,Single,Science,Marine  science,No,Good,Neutral,Neutral,Neutral,Good,Good,4.184772337627739,3.5452251311098144,No,No,-0.6395472065179244
200level,22–24,Female,Single,Education,Art and social sciences Education ,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,3.314630065006157,3.655576582746111,Yes,Yes,0.34094651773995377
400level,19–21,Male,Single,Engineering,Electrical and Electronics Engineering ,Yes,Poor,Good,Neutral,Neutral,Neutral,Neutral,3.9647208334503263,4.008185450054575,Yes,Yes,0.04346461660424872
200level,16–18,Female,Single,Education,Yoruba ,No,Poor,Neutral,Good,Good,Good,Poor,3.6616078437447075,4.399811970857877,No,,0.7382041271131699
500level.,27+,Female,Married,Engineering,Met and mat,Yes,Good,Neutral,Good,Neutral,Neutral,Neutral,3.6883344532255244,3.9412863932397944,No,,0.2529519400142699
400level,22–24,Female,Single,Management Science,Finance ,Yes,Neutral,Poor,Neutral,Poor,Good,Neutral,3.392842395027108,3.977754002743819,Yes,No,0.5849116077167111
300level,19–21,Male,Single,Science,Statistics ,Yes,Good,Good,Good,Good,Good,Good,3.8744614934790915,3.9564160609308394,Yes,No,0.0819545674517479
300level,25–27,Male,Single,Science,Botany ,Yes,Good,Neutral,Neutral,Poor,Good,Neutral,3.7303861857520184,3.1803645437898544,No,No,-0.550021641962164
400level,22–24,Male,Single,Science,Geophysics ,No,Poor,Neutral,Neutral,Poor,Neutral,Poor,4.173883826631564,3.7035590824648015,No,No,-0.4703247441667626
200level,16–18,Female,Married,Engineering,Civil Engineering,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,3.727360234729086,3.18639150079725,Yes,No,-0.5409687339318361
300level,25–27,Female,Single,Law,Law,No Skill,Neutral,Neutral,Neutral,Neutral,Neutral,Poor,3.5833467399134444,3.1609128500124037,No,No,-0.4224338899010407
200level,22–24,Female,Single,Management Science,accounting ,Yes,Neutral,Poor,Poor,Poor,Neutral,Poor,3.552761916827562,3.085864264886405,No,No,-0.46689765194115695
300level,22–24,Male,Single,Education,Educational foundations ,No,Neutral,Good,Neutral,Neutral,Neutral,Neutral,4.145809190593199,3.9779280504443535,Yes,No,-0.16788114014884536
300level,19–21,Male,Single,Science,Cell Biology and Genetics,Yes,Neutral,Good,Neutral,Neutral,Good,Good,4.03892736201467,3.53941725814858,No,No,-0.49951010386608985
500level.,25–27,Female,Single,Science,Marine  science,No,Good,Neutral,Neutral,Neutral,Good,Good,3.7868974958782435,4.105481500762661,No,No,0.3185840048844173
200level,22–24,Female,Single,Education,Art and social sciences Education ,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,4.338746671625689,3.839855449324472,Yes,Yes,-0.49889122230121696
400level,19–21,Male,Single,Engineering,Electrical and Electronics Engineering ,Yes,Poor,Good,Neutral,Neutral,Neutral,Neutral,3.9560379322644605,3.3575483977054708,Yes,Yes,-0.5984895345589898
200level,16–18,Female,Single,Education,Yoruba ,No,Poor,Neutral,Good,Good,Good,Poor,3.8019686975846105,3.1277662569650975,No,,-0.6742024406195131
500level.,27+,Female,Married,Engineering,Met and mat,Yes,Good,Neutral,Good,Neutral,Neutral,Neutral,4.025213660078186,3.824243262707234,No,,-0.20097039737095201
400level,22–24,Female,Single,Management Science,Finance ,Yes,Neutral,Poor,Neutral,Poor,Good,Neutral,3.5802458547603786,4.360521424316979,Yes,No,0.7802755695566006
300level,19–21,Male,Single,Science,Statistics ,Yes,Good,Good,Good,Good,Good,Good,3.9104410712479414,3.3852703539003124,Yes,No,-0.525170717347629
300level,25–27,Male,Single,Science,Botany ,Yes,Good,Neutral,Neutral,Poor,Good,Neutral,3.5716899150966377,3.0416344430312585,No,No,-0.5300554720653792
400level,22–24,Male,Single,Science,Geophysics ,No,Poor,Neutral,Neutral,Poor,Neutral,Poor,4.041092901723142,4.4056102651357225,No,No,0.36451736341258023
200level,16–18,Female,Married,Engineering,Civil Engineering,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,4.056809795773324,3.9526758860354354,Yes,No,-0.10413390973788861
300level,25–27,Female,Single,Law,Law,No Skill,Neutral,Neutral,Neutral,Neutral,Neutral,Poor,3.8528094785199487,4.217091674020886,No,No,0.36428219550093743
200level,22–24,Female,Single,Management Science,accounting ,Yes,Neutral,Poor,Poor,Poor,Neutral,Poor,4.1787645682636265,4.001506990561218,No,No,-0.17725757770240858
300level,22–24,Male,Single,Education,Educational foundations ,No,Neutral,Good,Neutral,Neutral,Neutral,Neutral,3.6896667615477314,2.7396400993838856,Yes,No,-0.9500266621638458
300level,19–21,Male,Single,Science,Cell Biology and Genetics,Yes,Neutral,Good,Neutral,Neutral,Good,Good,4.030925060518219,3.699810763587618,No,No,-0.3311142969306009
500level.,25–27,Female,Single,Science,Marine  science,No,Good,Neutral,Neutral,Neutral,Good,Good,3.848642163346037,3.1361415293075465,No,No,-0.7125006340384905
200level,22–24,Female,Single,Education,Art and social sciences Education ,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,3.5654766358882477,3.516511938078425,Yes,Yes,-0.0489646978098226
400level,19–21,Male,Single,Engineering,Electrical and Electronics Engineering ,Yes,Poor,Good,Neutral,Neutral,Neutral,Neutral,4.071909830107866,2.8213957515629158,Yes,Yes,-1.25051407854495
200level,16–18,Female,Single,Education,Yoruba ,No,Poor,Neutral,Good,Good,Good,Poor,4.349606327095186,3.33602157132705,No,,-1.0135847557681363
500level.,27+,Female,Married,Engineering,Met and mat,Yes,Good,Neutral,Good,Neutral,Neutral,Neutral,4.733284883527877,3.715620909669431,No,,-1.017663973858446
400level,22–24,Female,Single,Management Science,Finance ,Yes,Neutral,Poor,Neutral,Poor,Good,Neutral,3.908252769231095,3.0873579856455997,Yes,No,-0.8208947835854952
300level,19–21,Male,Single,Science,Statistics ,Yes,Good,Good,Good,Good,Good,Good,4.014989994381551,3.9329032338769707,Yes,No,-0.08208676050458052
300level,25–27,Male,Single,Science,Botany ,Yes,Good,Neutral,Neutral,Poor,Good,Neutral,4.352480777982243,3.6482940385419615,No,No,-0.7041867394402814
400level,22–24,Male,Single,Science,Geophysics ,No,Poor,Neutral,Neutral,Poor,Neutral,Poor,3.594389298207969,3.330395698641291,No,No,-0.2639935995666782
200level,16–18,Female,Married,Engineering,Civil Engineering,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,4.299659847449226,3.574681974666691,Yes,No,-0.7249778727825347
300level,25–27,Female,Single,Law,Law,No Skill,Neutral,Neutral,Neutral,Neutral,Neutral,Poor,3.4264861838852485,3.389534951582987,No,No,-0.036951232302261605
200level,22–24,Female,Single,Management Science,accounting ,Yes,Neutral,Poor,Poor,Poor,Neutral,Poor,3.5652593201191944,3.2488043502403876,No,No,-0.31645496987880684
300level,22–24,Male,Single,Education,Educational foundations ,No,Neutral,Good,Neutral,Neutral,Neutral,Neutral,3.821258199554707,3.525386717285058,Yes,No,-0.29587148226964866
300level,19–21,Male,Single,Science,Cell Biology and Genetics,Yes,Neutral,Good,Neutral,Neutral,Good,Good,3.7773625967412956,3.5347189670341574,No,No,-0.24264362970713815
