Timestamp,Are you a student of the University of Lagos?,"If not, what is your university/institution?",What is your current academic level?,How old are you?,What is your gender?,What was your relationship status during the strike?,What is your faculty?,What is your department?,"Kindly input your department, if not listed in the previous question. ",How has the ASUU strike affected you and your academic performance?,What was the most challenging part of returning to academic life after the strike?,Did you undertake any work during the strike?,How did you develop yourself during the strike?,How prepared were you for the exams? [Before Strike],How prepared were you for the exams? [After Strike],How were your lectures affected by the strike?,How often did you engage in academic activities during the strike?,How many courses did you take in the affected semester? ,How many credit units did your courses add up to in the affected semester?,What was your CGPA before the strike?,What was your CGPA after the strike?
05/04/2023 15:29:49,Yes,UNILAG ,Masters Program,26,Female,Single,Social Sciences,Mass Communication,,Not Much ,Work Overload ,Did not work during the strike,Acquired skills relevant to course of study,Moderately,Moderately,Worse lectures after the strike,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",5,24,0,0
05/04/2023 15:29:50,Yes,,400 Level,21,Female,Single,Engineering,Computer Engineering,,"Has not affected my performance.
School is interfering with life ",Changing routines,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Moderately,Moderately,I did not attend any lectures after the strike,Never: I did not engage in any academic activities during the strike.,11,20,3.38,3.48
05/04/2023 15:30:34,Yes,,300 Level,23,Female,Single,Education,Educational Foundations,,"I hate Nigeria and Nigerian universities,the system is trash",Having to keep up with lectures and lecturers canceling lectures,Worked in a role unrelated to my studies,"Volunteered for an event or organization, Acquired skills unrelated to course of study",Poorly,Very,Worse lectures after the strike,Never: I did not engage in any academic activities during the strike.,10,,2.75,2.75
05/04/2023 15:30:34,Yes,,200 Level,20,Female,Single,Management Science,Finance,,"it has affected me badly. i got into this school 2020, same year corona and asuu strike happened and it really dealt with me, it made me lose interest in school, i wasn't able to give my academics my all when we returned back to school. ","the fact that i had to return back to school work despite being depressed and struggling emotionally, physically, academically and mentally. ",Did not work during the strike,Acquired skills unrelated to course of study,Moderately,Poorly,Worse lectures after the strike,Never: I did not engage in any academic activities during the strike.,8,20,0,2.34
05/04/2023 15:32:42,Yes,,400 Level,26,Female,Dating,Management Science,Finance,,Asuu has caused a major delay in our acedmics. The prolonged academic period has caused depleted spirit and concentration and inability to plan for the next phase of life.  ,The fact that I had to stop what I was doing during that period.,Worked in a role unrelated to my studies,"Volunteered for an event or organization, Acquired skills relevant to course of study, Vocational training and artisanship",Very,Moderately,Worse lectures after the strike,Never: I did not engage in any academic activities during the strike.,6,16,0,0
05/04/2023 15:33:33,Yes,,100 Level,18,Female,Single,Engineering,Biomedical Engineering,,Not my best ,Getting used to reading and studying again.,Did not work during the strike,None of the above,Poorly,Moderately,No noticeable change,Rarely: I engaged in academic activities once or twice during the strike.,8,20,0,3.81
05/04/2023 15:35:17,Yes,,400 Level,21,Male,Single,Environmental Sciences,Estate,,"Never really thought of it, there are times when exams were about to meet me at a bad point and strike interfered giving me time to prepare but usually ends up going on for too long that I probably become “unprepared” again.",Realizing you’re still in the same level and still have the same amount of years in front of you in school.,Worked in a role unrelated to my studies,"Acquired skills unrelated to course of study, Vocational training and artisanship",Poorly,Moderately,No noticeable change,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",7,15,3.71,3.75
05/04/2023 15:35:19,Yes,,300 Level,21,Female,Single,Clinical Sciences,Other,Radiography ,Lost interest in school ,Mentally been a student ,Did not work during the strike,Acquired skills unrelated to course of study,Poorly,Poorly,Worse lectures after the strike,Rarely: I engaged in academic activities once or twice during the strike.,8,21,0,0
05/04/2023 15:39:15,Yes,,300 Level,22,Female,Single,Social Sciences,Mass Communication,,,,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Poorly,Moderately,Worse lectures after the strike,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",9,,4.1,3.9
05/04/2023 15:39:25,Yes,,400 Level,22,Female,Dating,Management Science,Finance,,Badly,Trying to fit in back,Worked in a role unrelated to my studies,Vocational training and artisanship,Poorly,Moderately,No noticeable change,Rarely: I engaged in academic activities once or twice during the strike.,6,,3,3
05/04/2023 15:41:05,Yes,,300 Level,25,Female,Single,Sciences,Biochemistry,,"During the strike I lost all zeal for studying and being a student, the strike pull up a harsh reality for me and it's been a struggle ","Trying to study, because like I said I lost all zeal for my academics ",Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Very,Moderately,Fewer lecturers attended classes,Never: I did not engage in any academic activities during the strike.,9,20,4.09,4.22
05/04/2023 15:41:37,No,Federal University of Petroleum Resources Effurun Delta State,300 Level,20,Female,Single,Engineering,Chemical Engineering,,No effect,Reading and going to class,Worked in a role unrelated to my studies,None of the above,Very,Very,Fewer lecturers attended classes,Rarely: I engaged in academic activities once or twice during the strike.,11,22,4.67,4.67
05/04/2023 15:42:19,Yes,,300 Level,22,Female,Single,Engineering,Surveying & Geo-Informatics Engineering,,Made me not want to read. ,"Reading, finding time to read, motivating myself to read",Worked in a role unrelated to my studies,None of the above,Poorly,Very,Improved lectures after the strike,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",9,22,2.94,0
05/04/2023 15:42:55,Yes,,400 Level,22,Male,Dating,Law,Law,,Increased apathy towards education ,Having to rebuild work habits ,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Poorly,Poorly,Worse lectures after the strike,Never: I did not engage in any academic activities during the strike.,5,20,3.34,3.31
05/04/2023 15:43:37,Yes,,100 Level,21,Male,Single,Clinical Sciences,Medicine,,I'm a lot more discouraged now with school stuff,Readjusting,Worked in a role unrelated to my studies,Acquired skills relevant to course of study,Moderately,Moderately,I did not attend any lectures after the strike,"Often: I engaged in academic activities regularly, but not as often as I would during a normal semester.",6,20,0,4.8
05/04/2023 15:44:45,Yes,,400 Level,22,Female,Single,Engineering,Chemical Engineering,,Well it took a while to remember topics we had covered 8 months prior,Getting back into the schedule ,Worked in a role relevant to my studies,Acquired skills relevant to course of study,Moderately,Moderately,Worse lectures after the strike,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",10,23,4.25,4.35
05/04/2023 15:54:49,Yes,,400 Level,23,Female,Dating,Engineering,Mechanical Engineering,,The strike has had adverse effects on my academic performance before ,"The rush they usually put students through after the strike, for exams , tests , project, etc",Worked in a role relevant to my studies,"Volunteered for an event or organization, Acquired skills relevant to course of study, Acquired skills unrelated to course of study",Moderately,Poorly,Worse lectures after the strike,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",8,8,4.06,4.11
05/04/2023 15:58:43,Yes,,300 Level,22,Female,Single,Education,Arts & Social Science Education,,I’m fed up and I no academic strength left in me ,Adapting to classes ,Worked in a role unrelated to my studies,Vocational training and artisanship,Very,Moderately,Fewer lecturers attended classes,Never: I did not engage in any academic activities during the strike.,11,24,3,3
05/04/2023 16:00:40,Yes,,300 Level,22,Female,Dating,Sciences,Zoology,,It made me depressed which affected my grades,Seeing that my mates have moved foward ,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Moderately,Moderately,No noticeable change,Never: I did not engage in any academic activities during the strike.,8,21,3.73,3.64
05/04/2023 16:07:18,Yes,,100 Level,19,Female,Single,Engineering,Computer Engineering,,,It has been badly damaged,Did not work during the strike,Acquired skills relevant to course of study,Very,Poorly,No noticeable change,Never: I did not engage in any academic activities during the strike.,9,14,0,4.28
05/04/2023 16:09:27,Yes,,200 Level,19,Female,Single,Management Science,Finance,,My cgpa dropped. ,Getting back into the routine of reading and attending classes after 8 months of not doing so. ,Did not work during the strike,Acquired skills relevant to course of study,Poorly,Moderately,Improved lectures after the strike,Never: I did not engage in any academic activities during the strike.,7,21,4,3.88
05/04/2023 16:11:53,Yes,,500 Level,23,Female,Single,Law,Law,,I am now uninterested in academics and yet performing better ,Preparing for exams ,Worked in a role unrelated to my studies,"Acquired skills unrelated to course of study, Vocational training and artisanship",Poorly,Very,No noticeable change,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",5,20,3.7,3.7
05/04/2023 16:15:56,Yes,,300 Level,21,Female,Single,Education,Science Tech. Education,,,,Worked in a role unrelated to my studies,Vocational training and artisanship,Poorly,Moderately,I did not attend any lectures after the strike,Never: I did not engage in any academic activities during the strike.,7,16,2.77,2.8
05/04/2023 16:20:25,Yes,,300 Level,23,Male,Single,Sciences,Biochemistry,,It has been detrimental to my academic performance.,Getting back to a large catalogue of studying after leaving it for a long time,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Poorly,Moderately,Fewer lecturers attended classes,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",8,16,3.65,3.88
05/04/2023 16:21:49,Yes,,300 Level,28,Female,Single,Education,Education Administration,Biology Education ,"My academic performance has reduced, because I lost focus during the strike ",Reading ,Worked in a role unrelated to my studies,Vocational training and artisanship,Very,Moderately,Fewer lecturers attended classes,"Often: I engaged in academic activities regularly, but not as often as I would during a normal semester.",8,25,3.25,2.55
05/04/2023 16:24:21,Yes,,300 Level,26,Male,Single,Sciences,Botany,,It has made me become less interested in my studies ,"Adjusting to the regular classes, labs and class assignments were tough",Did not work during the strike,Acquired skills unrelated to course of study,Very,Moderately,Fewer lecturers attended classes,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",6,17,4.08,4.05
05/04/2023 16:24:41,Yes,,300 Level,20,Female,Dating,Sciences,Cell Biology & Genetics,,neutral ,sleep schedule ,Did not work during the strike,Acquired skills unrelated to course of study,Moderately,Moderately,Worse lectures after the strike,"Often: I engaged in academic activities regularly, but not as often as I would during a normal semester.",6,18,3.8,4
05/04/2023 16:25:20,Yes,,100 Level,18,Female,"That thin line between ""single"" and ""dating""",Social Sciences,Economics,,It has disillusioned me,The stress of memorizing and ingesting academic work majority of which would mean nothing after 4 years,Worked in a role unrelated to my studies,"Acquired skills unrelated to course of study, Vocational training and artisanship",Very,Moderately,Worse lectures after the strike,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",9,23,0,0
05/04/2023 16:27:55,Yes,,300 Level,21,Female,Single,Sciences,Marine Science,,"I think I've lost interest.
School doesn't make sense anymore 
I learnt data science though and I'm thankful I'm beginning to see a linkage between it and Marine Science that I can pursue later on. ",Attending classes. I got used to being inside and online classes as an introvert and then boom physical classes... It took a lot to adjust back to the regular system. ,Worked in a role unrelated to my studies,"Acquired skills relevant to course of study, Acquired skills unrelated to course of study",Moderately,Moderately,Fewer lecturers attended classes,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",8,20,4.3,4.4
05/04/2023 16:28:48,No,OOU OGUN STATE ,500 Level,23,Male,Single,AGRICULTURE ,Other,FISHERIES ,,,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Very,Moderately,Worse lectures after the strike,Rarely: I engaged in academic activities once or twice during the strike.,9,19,3.51,3.66
05/04/2023 16:30:28,Yes,,200 Level,20,Male,Single,Pharmacy,Other,,,,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Moderately,Moderately,Fewer lecturers attended classes,"Often: I engaged in academic activities regularly, but not as often as I would during a normal semester.",7,,5,4.89
05/04/2023 16:31:06,Yes,,300 Level,21,Female,Single,Sciences,Botany,,By delaying the time I ought to spend in school ,Balancing incoming responsibility daily,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Poorly,Moderately,No noticeable change,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",6,,3.48,3.48
05/04/2023 16:33:19,Yes,,300 Level,25,Female,Single,Education,Other,Education and Biology ,Poorly ,I’ve lost interest in schooling ,Worked in a role unrelated to my studies,Vocational training and artisanship,Poorly,Moderately,No noticeable change,Never: I did not engage in any academic activities during the strike.,8,18,2.76,3.5
05/04/2023 16:37:08,Yes,,300 Level,22,Female,Single,Education,Science Tech. Education,,It has discouraged me. I really have lost faith in the Nigerian Education system. I hope to leave the country after my undergraduate. ,Trying to think academically,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Very,Moderately,No noticeable change,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",7,,4.06,4.17
05/04/2023 16:37:17,Yes,,100 Level,20,Male,Single,Engineering,Mechanical Engineering,,E choke o,The flex ,Did not work during the strike,None of the above,Moderately,Moderately,No noticeable change,Rarely: I engaged in academic activities once or twice during the strike.,8,2,0,4.21
05/04/2023 16:40:44,Yes,,200 Level,19,Male,Single,Engineering,Systems Engineering,,My academic performance was affected negatively due to the strike.,Changing up my already established schedule abruptly.,Worked in a role unrelated to my studies,"Acquired skills unrelated to course of study, Vocational training and artisanship",Very,Moderately,Worse lectures after the strike,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",10,,0,0
05/04/2023 16:43:43,Yes,,200 Level,22,Male,Single,Engineering,Systems Engineering,,Made me unserious with school ,Adjust physically to lecture conditions ,Worked in a role relevant to my studies,Acquired skills relevant to course of study,Very,Poorly,Worse lectures after the strike,Never: I did not engage in any academic activities during the strike.,10,18,0,0
05/04/2023 16:50:57,Yes,,100 Level,18,Female,Single,Sciences,Botany,,Hmm ....it affected me fairly....cos I wasnt able to perform up to my expectations,The part to start reading again.. because I rarely read during the strike ,Worked in a role unrelated to my studies,Volunteered for an event or organization,Moderately,Moderately,Fewer lecturers attended classes,Rarely: I engaged in academic activities once or twice during the strike.,8,23,0,3
05/04/2023 16:52:56,Yes,,100 Level,21,Female,Single,Sciences,Botany,,Added to my academic year ,Adaptation ,Worked in a role unrelated to my studies,Vocational training and artisanship,Moderately,Poorly,Worse lectures after the strike,Rarely: I engaged in academic activities once or twice during the strike.,8,17,0,0
05/04/2023 17:03:38,Yes,,100 Level,19,Female,Single,Pharmacy,Other,Pharmacy ,"I have actually spent three years in 100level...no kidding.Apart from the fact that I'm far behind my mates,the strike made me really lose interest in studying because we go months without any school work and all of a sudden we are expecting to just adjust and start reading.Im really tired of this kind of life 🤦",Trying to adjust after I got used to doing other things apart from school activities ,Worked in a role unrelated to my studies,Vocational training and artisanship,Very,Moderately,Fewer lecturers attended classes,Never: I did not engage in any academic activities during the strike.,8,21,0,4.5
05/04/2023 17:12:23,Yes,,500 Level,23,Female,Dating,Law,Other,Law ,Good and not good in some ways ,Rushing  to read all topics to pass exams ,Did not work during the strike,None of the above,Moderately,Poorly,Fewer lecturers attended classes,Never: I did not engage in any academic activities during the strike.,6,24,1.84,3.02
05/04/2023 17:18:38,Yes,,400 Level,23,Male,Single,Engineering,Chemical Engineering,,Not a lot ,Getting back into the routine of lectures. And being able to study for long periods again ,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Poorly,Moderately,No noticeable change,Never: I did not engage in any academic activities during the strike.,10,23,3.44,3.49
05/04/2023 17:22:23,Yes,,300 Level,21,Female,Single,Sciences,Botany,,It shifted the date of Graduation ,No challenges ,Worked in a role unrelated to my studies,"Acquired skills unrelated to course of study, Vocational training and artisanship",Moderately,Very,Improved lectures after the strike,Rarely: I engaged in academic activities once or twice during the strike.,7,17,4.49,5
05/04/2023 17:29:50,Yes,,300 Level,22,Female,Single,Sciences,Marine Science,,Reading and assimilating is harder,Learning how to read and write again ,Worked in a role unrelated to my studies,Vocational training and artisanship,Moderately,Moderately,Fewer lecturers attended classes,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",8,19,0,0
05/04/2023 17:38:55,Yes,,300 Level,21,Female,Single,Sciences,Botany,,Badly and Terribly ,Trying to study from the beginning ,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Moderately,Very,No noticeable change,Rarely: I engaged in academic activities once or twice during the strike.,5,16,3.05,3.23
05/04/2023 18:18:35,Yes,,200 Level,23,Male,Single,Social Sciences,Psychology,,"Chipped away at my motivation for school work. Consequently, reducing academic performance but not by much.",Regaining that momentum of studying before the strike ,Did not work during the strike,Acquired skills unrelated to course of study,Moderately,Poorly,Fewer lecturers attended classes,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",6,21,0,4.35
05/04/2023 18:29:10,Yes,,300 Level,20,Male,Single,Management Science,Accounting,,It affected my mental health but My academic standing is still very solid,Being able to focus and zone back in into academic activities ,Did not work during the strike,Acquired skills relevant to course of study,Moderately,Very,No noticeable change,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",9,23,4.64,4.72
05/04/2023 18:35:53,Yes,,200 Level,21,Female,Single,Sciences,Botany,,"It affected my academic, because I had a plan for the semester, but when asuu strike came in, it affected me a bit ",It was very difficult for me to start reading ,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Moderately,Moderately,Worse lectures after the strike,Never: I did not engage in any academic activities during the strike.,6,12,3.5,3.2
05/04/2023 18:50:24,Yes,,400 Level,22,Male,Complicated,Engineering,Chemical Engineering,,"I was starting to get overwhelmed in school before the strike. There were a lot of deadlines to meet. But the strike provided a breather. I was able to intern during the strike and it rekindled my interest in my course of study. I think I performed better, or about the same, with the presence of the strike.",I had started a lot of courses during the strike. The most challenging part of the return was finding a way to continue those courses without falling short in my academics.,Worked in a role relevant to my studies,"Volunteered for an event or organization, Acquired skills relevant to course of study, Acquired skills unrelated to course of study",Poorly,Moderately,No noticeable change,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",10,23,4.51,4.52
05/04/2023 19:00:20,Yes,,200 Level,21,Male,Single,Management Science,Finance,,,,Worked in a role relevant to my studies,Acquired skills relevant to course of study,Very,Moderately,Fewer lecturers attended classes,Rarely: I engaged in academic activities once or twice during the strike.,7,0,4,3.99
05/04/2023 19:19:04,Yes,,300 Level,21,Female,Single,Law,Law,,Very poor,It takes a while to adjust to school ,Worked in a role unrelated to my studies,Vocational training and artisanship,Very,Poorly,Worse lectures after the strike,Never: I did not engage in any academic activities during the strike.,6,22,3.5,3
05/04/2023 19:41:37,Yes,,300 Level,22,Female,Single,Law,Law,,The longer I stay in a class drains me mentally,Catching up mentally ,Did not work during the strike,Vocational training and artisanship,Moderately,Moderately,Improved lectures after the strike,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",5,20,4,3.97
05/04/2023 19:45:27,Yes,,300 Level,21,Male,Single,Management Science,Finance,,"It added more years to my undergraduate days, with a marginal effect on my CGPA",Getting back to classes and studying after leaving books for a long time ,Worked in a role relevant to my studies,Acquired skills relevant to course of study,Moderately,Poorly,Fewer lecturers attended classes,Rarely: I engaged in academic activities once or twice during the strike.,7,22,4.61,4.67
05/04/2023 20:35:56,Yes,,300 Level,27,Female,Single,Education,Educational Foundations,,I have an extra year in school because of the strike which has completely altered personal future plans.,Having to be rushed for exams and loads of school works piled up by lecturers. ,Did not work during the strike,Acquired skills unrelated to course of study,Moderately,Poorly,No noticeable change,Never: I did not engage in any academic activities during the strike.,8,16,3.33,3.33
05/04/2023 20:57:31,Yes,,200 Level,23,Male,Single,Engineering,Chemical Engineering,,Badly,"I had forgotten what I already read before  the strike, started again",Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Moderately,Poorly,Fewer lecturers attended classes,Never: I did not engage in any academic activities during the strike.,10,21,4.46,4.56
05/04/2023 21:05:10,Yes,,200 Level,21,Male,Single,Engineering,Chemical Engineering,,It made me lose zeal for a bit,Having to read everything all over again,Worked in a role unrelated to my studies,"Vocational training and artisanship, None of the above",Moderately,Moderately,No noticeable change,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",10,23,4.2,4.31
05/04/2023 21:11:19,Yes,,300 Level,28,Female,Married,Education,Educational Foundations,,The years lost cannot be recovered except they speed up the academic calendar but instead what we get are prolonged days. It has stopped me from achieving alot of things and also sneaked into my plans.,I had tobstop my business because of the way the economy breakdown affected alot . ,Worked in a role unrelated to my studies,None of the above,Very,Moderately,No noticeable change,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",8,0,4,3.89
